studentId,class
1,12Y
2,9N
3,11M
4,10S
5,9A
6,4D
7,8L
8,4M
9,11R
10,10K
11,2U
12,12K
13,3T
14,2I
15,10F
16,11W
17,4V
18,4D
19,8F
20,7R
21,3K
22,5G
23,10I
24,7J
25,12Y
26,8D
27,11P
28,6K
29,3S
30,12T
31,7Q
32,2V
33,12E
34,4W
35,5V
36,4X
37,3L
38,3G
39,8B
40,5M
41,1C
42,4H
43,7Z
44,3C
45,12A
46,4E
47,7J
48,5C
49,6R
50,5S
51,11K
52,7G
53,7S
54,2W
55,7R
56,1M
57,1R
58,1S
59,4D
60,3M
61,1W
62,11X
63,12L
64,5P
65,3R
66,7I
67,4V
68,8S
69,12E
70,8N
71,3U
72,4J
73,2F
74,7K
75,6N
76,8U
77,5G
78,12F
79,3T
80,3N
81,4H
82,9U
83,11O
84,1R
85,5B
86,9B
87,10Z
88,3H
89,4F
90,6M
91,2R
92,7Y
93,11T
94,5U
95,10P
96,5W
97,3Y
98,9V
99,11V
100,6E
101,3P
102,3V
103,4H
104,10O
105,9W
106,4W
107,1K
108,2X
109,9D
110,7H
111,3I
112,4K
113,12H
114,9D
115,7F
116,3N
117,2A
118,9L
119,3C
120,1H
121,1U
122,12I
123,9R
124,9S
125,8F
126,3E
127,12A
128,10Q
129,12I
130,6H
131,9K
132,5L
133,6T
134,3F
135,8S
136,9D
137,1Q
138,6E
139,8D
140,8W
141,9I
142,5Y
143,10U
144,7Q
145,1S
146,3V
147,5P
148,4R
149,10M
150,2O
151,9L
152,8J
153,1U
154,10J
155,1B
156,10F
157,11O
158,11X
159,1G
160,2O
161,4R
162,1Y
163,11K
164,7X
165,7B
166,7B
167,9H
168,8X
169,3F
170,2V
171,2J
172,5Z
173,9C
174,11T
175,5M
176,12B
177,6B
178,11S
179,3T
180,9K
181,8N
182,5N
183,8L
184,9R
185,3S
186,3O
187,5Q
188,3Z
189,6U
190,7P
191,7Y
192,4G
193,1P
194,10G
195,8F
196,6G
197,4M
198,2Z
199,11U
200,7N
201,3U
202,6E
203,2T
204,9W
205,6H
206,2I
207,8P
208,1W
209,4M
210,11L
211,11Q
212,4T
213,7D
214,4D
215,1P
216,4L
217,12J
218,2Q
219,3G
220,12Z
221,8P
222,11G
223,12Q
224,4C
225,10K
226,1H
227,10O
228,4V
229,5Z
230,8C
231,10B
232,5J
233,1P
234,8E
235,3L
236,5E
